fecha,mes,establecimiento,servicio,profesional,atenciones,meta,errores
2026-01-01,2026-01,C.S. Santa Clara,Inmunizaciones,Lucía Gómez,11,29,3
2026-01-01,2026-01,C.S. Túpac Amaru,Medicina,Luis Ramos,45,28,1
2026-01-01,2026-01,C.S. Santa Clara,Medicina,Juan Pérez,35,51,0
2026-01-01,2026-01,C.S. Santa Clara,Medicina,Carlos Vega,35,28,3
2026-01-01,2026-01,C.S. Túpac Amaru,Medicina,Ana Torres,48,28,1
2026-01-01,2026-01,C.S. Túpac Amaru,Inmunizaciones,Juan Pérez,22,27,1
2026-01-02,2026-01,C.S. Huaycán,Inmunizaciones,Ana Torres,42,32,1
2026-01-02,2026-01,C.S. Huaycán,Nutrición,Lucía Gómez,19,31,1
2026-01-02,2026-01,C.S. Túpac Amaru,Psicología,Ana Torres,31,31,1
2026-01-02,2026-01,C.S. Horacio Zevallos,Medicina,Carlos Vega,11,38,1
2026-01-02,2026-01,C.S. Horacio Zevallos,Nutrición,Rosa Quispe,28,54,1
2026-01-03,2026-01,C.S. Huaycán,CRED,Ana Torres,19,40,0
2026-01-03,2026-01,C.S. Túpac Amaru,CRED,Carlos Vega,39,46,2
2026-01-03,2026-01,C.S. San Fernando,CRED,Carlos Vega,12,32,1
2026-01-03,2026-01,C.S. San Fernando,Odontología,Luis Ramos,17,56,1
2026-01-03,2026-01,C.S. Fortaleza,Psicología,Juan Pérez,43,45,0
2026-01-03,2026-01,C.S. Horacio Zevallos,CRED,Carlos Vega,39,54,0
2026-01-03,2026-01,C.S. Puruchuco,Medicina,Luis Ramos,38,29,0
2026-01-04,2026-01,C.S. Horacio Zevallos,CRED,Lucía Gómez,44,53,0
2026-01-04,2026-01,C.S. Horacio Zevallos,Inmunizaciones,Lucía Gómez,30,26,1
2026-01-04,2026-01,C.S. Huaycán,Odontología,Carlos Vega,15,56,0
2026-01-04,2026-01,C.S. Santa Clara,CRED,Ana Torres,55,40,1
2026-01-04,2026-01,C.S. San Fernando,Inmunizaciones,Juan Pérez,18,53,1
2026-01-04,2026-01,C.S. Túpac Amaru,CRED,Ana Torres,35,60,0
2026-01-04,2026-01,C.S. Horacio Zevallos,Inmunizaciones,Luis Ramos,51,49,0
2026-01-04,2026-01,C.S. Santa Clara,Medicina,Ana Torres,17,39,2
2026-01-04,2026-01,C.S. Santa Clara,Medicina,Rosa Quispe,45,36,0
2026-01-05,2026-01,C.S. Fortaleza,Odontología,Rosa Quispe,42,48,1
2026-01-05,2026-01,C.S. Túpac Amaru,CRED,Ana Torres,52,57,1
2026-01-05,2026-01,C.S. Horacio Zevallos,Psicología,Lucía Gómez,11,54,3
2026-01-05,2026-01,C.S. Puruchuco,Psicología,Carlos Vega,33,50,1
2026-01-05,2026-01,C.S. San Fernando,Medicina,Rosa Quispe,48,50,0
2026-01-05,2026-01,C.S. Santa Clara,Medicina,Ana Torres,36,35,0
2026-01-06,2026-01,C.S. Túpac Amaru,Medicina,Juan Pérez,8,34,1
2026-01-06,2026-01,C.S. Fortaleza,CRED,Carlos Vega,9,29,3
2026-01-06,2026-01,C.S. Santa Clara,Nutrición,Rosa Quispe,17,41,0
2026-01-06,2026-01,C.S. Túpac Amaru,CRED,Rosa Quispe,15,32,3
2026-01-06,2026-01,C.S. San Fernando,Inmunizaciones,Rosa Quispe,38,44,0
2026-01-06,2026-01,C.S. Santa Clara,Medicina,Lucía Gómez,29,41,1
2026-01-07,2026-01,C.S. Santa Clara,Nutrición,Juan Pérez,21,58,0
